voters,failure_rate,base_latency_ms,dos,replication_factor,replicates,latency_ms_mean,latency_ms_ci95,throughput_mean,throughput_ci95,success_pct_mean,success_pct_ci95,tamper_pct_mean,tamper_pct_ci95
1000.0,0.0,5.0,0.0,1.0,10.0,37.5,1.8,26.667,0.7,100.0,0.0,0.0,0.0
1000.0,0.0,5.0,0.0,3.0,10.0,35.058,1.352,25.6,0.7,100.0,0.0,0.0,0.0
1000.0,0.0,5.0,1.0,1.0,10.0,39.079,2.16,23.457,0.8,95.0,0.5,0.0,0.0
1000.0,0.0,5.0,1.0,3.0,10.0,36.137,1.615,22.519,0.8,99.988,0.5,0.0,0.0
1000.0,0.0,25.0,0.0,1.0,10.0,187.5,6.0,5.333,0.15,100.0,0.0,0.0,0.0
1000.0,0.0,25.0,0.0,3.0,10.0,179.294,4.546,5.12,0.15,100.0,0.0,0.0,0.0
1000.0,0.0,25.0,1.0,1.0,10.0,195.395,7.2,4.691,0.18,95.0,0.5,0.0,0.0
1000.0,0.0,25.0,1.0,3.0,10.0,185.606,5.381,4.503,0.18,99.988,0.5,0.0,0.0
1000.0,0.1,5.0,0.0,1.0,10.0,37.5,1.98,24.0,0.75,90.0,0.6,0.0,0.0
1000.0,0.1,5.0,0.0,3.0,10.0,34.806,1.482,23.04,0.75,99.9,0.6,0.0,0.0
1000.0,0.1,5.0,1.0,1.0,10.0,39.244,2.376,21.235,0.85,86.0,0.7,0.0,0.0
1000.0,0.1,5.0,1.0,3.0,10.0,36.009,1.769,20.386,0.85,99.726,0.7,0.0,0.0
1000.0,0.1,25.0,0.0,1.0,10.0,187.5,6.6,4.8,0.16,90.0,0.6,0.0,0.0
1000.0,0.1,25.0,0.0,3.0,10.0,178.506,4.937,4.608,0.16,99.9,0.6,0.0,0.0
1000.0,0.1,25.0,1.0,1.0,10.0,196.221,7.92,4.247,0.19,86.0,0.7,0.0,0.0
1000.0,0.1,25.0,1.0,3.0,10.0,185.425,5.914,4.077,0.19,99.726,0.7,0.0,0.0
5000.0,0.0,5.0,0.0,1.0,10.0,37.5,0.81,26.667,0.315,100.0,0.0,0.0,0.0
5000.0,0.0,5.0,0.0,3.0,10.0,36.391,0.608,25.6,0.315,100.0,0.0,0.0,0.0
5000.0,0.0,5.0,1.0,1.0,10.0,39.079,0.972,23.457,0.36,95.0,0.225,0.0,0.0
5000.0,0.0,5.0,1.0,3.0,10.0,37.748,0.731,22.519,0.36,99.988,0.225,0.0,0.0
5000.0,0.0,25.0,0.0,1.0,10.0,187.5,2.7,5.333,0.068,100.0,0.0,0.0,0.0
5000.0,0.0,25.0,0.0,3.0,10.0,183.817,2.03,5.12,0.068,100.0,0.0,0.0,0.0
5000.0,0.0,25.0,1.0,1.0,10.0,195.395,3.24,4.691,0.081,95.0,0.225,0.0,0.0
5000.0,0.0,25.0,1.0,3.0,10.0,190.992,2.407,4.503,0.081,99.988,0.225,0.0,0.0
5000.0,0.1,5.0,0.0,1.0,10.0,37.5,0.891,24.0,0.338,90.0,0.27,0.0,0.0
5000.0,0.1,5.0,0.0,3.0,10.0,36.288,0.663,23.04,0.338,99.9,0.27,0.0,0.0
5000.0,0.1,5.0,1.0,1.0,10.0,39.244,1.069,21.235,0.383,86.0,0.315,0.0,0.0
5000.0,0.1,5.0,1.0,3.0,10.0,37.788,0.804,20.386,0.383,99.726,0.315,0.0,0.0
5000.0,0.1,25.0,0.0,1.0,10.0,187.5,2.97,4.8,0.072,90.0,0.27,0.0,0.0
5000.0,0.1,25.0,0.0,3.0,10.0,183.414,2.207,4.608,0.072,99.9,0.27,0.0,0.0
5000.0,0.1,25.0,1.0,1.0,10.0,196.221,3.564,4.247,0.086,86.0,0.315,0.0,0.0
5000.0,0.1,25.0,1.0,3.0,10.0,191.353,2.669,4.077,0.086,99.726,0.315,0.0,0.0
10000.0,0.0,5.0,0.0,1.0,10.0,37.5,0.576,26.667,0.224,100.0,0.0,0.0,0.0
10000.0,0.0,5.0,0.0,3.0,10.0,36.719,0.433,25.6,0.224,100.0,0.0,0.0,0.0
10000.0,0.0,5.0,1.0,1.0,10.0,39.079,0.691,23.457,0.256,95.0,0.16,0.0,0.0
10000.0,0.0,5.0,1.0,3.0,10.0,38.134,0.519,22.519,0.256,99.988,0.16,0.0,0.0
10000.0,0.0,25.0,0.0,1.0,10.0,187.5,1.92,5.333,0.048,100.0,0.0,0.0,0.0
10000.0,0.0,25.0,0.0,3.0,10.0,184.89,1.433,5.12,0.048,100.0,0.0,0.0,0.0
10000.0,0.0,25.0,1.0,1.0,10.0,195.395,2.304,4.691,0.058,95.0,0.16,0.0,0.0
10000.0,0.0,25.0,1.0,3.0,10.0,192.246,1.712,4.503,0.058,99.988,0.16,0.0,0.0
10000.0,0.1,5.0,0.0,1.0,10.0,37.5,0.634,24.0,0.24,90.0,0.192,0.0,0.0
10000.0,0.1,5.0,0.0,3.0,10.0,36.638,0.475,23.04,0.24,99.9,0.192,0.0,0.0
10000.0,0.1,5.0,1.0,1.0,10.0,39.244,0.76,21.235,0.272,86.0,0.224,0.0,0.0
10000.0,0.1,5.0,1.0,3.0,10.0,38.208,0.562,20.386,0.272,99.726,0.224,0.0,0.0
10000.0,0.1,25.0,0.0,1.0,10.0,187.5,2.112,4.8,0.051,90.0,0.192,0.0,0.0
10000.0,0.1,25.0,0.0,3.0,10.0,184.61,1.56,4.608,0.051,99.9,0.192,0.0,0.0
10000.0,0.1,25.0,1.0,1.0,10.0,196.221,2.534,4.247,0.061,86.0,0.224,0.0,0.0
10000.0,0.1,25.0,1.0,3.0,10.0,192.784,1.904,4.077,0.061,99.726,0.224,0.0,0.0
